EinheitMastrNummer,Gemeindeschluessel,Landkreis,Gemeinde,Laengengrad,Breitengrad,Inbetriebnahmedatum,EinheitBetriebsstatus,Bruttoleistung,Nettonennleistung,Lage
SEE996847924862,03353027,Harburg,Otter,9.713037,53.137079,2011-09-30,35,2300.000,2300.000,888
SEE986464062702,15082377,Anhalt-Bitterfeld,Südliches Anhalt,11.950280,51.663205,2012-06-21,35,2300.000,2300.000,888
SEE950665385557,03353027,Harburg,Otter,9.720876,53.135827,2011-08-19,35,2300.000,2300.000,888
SEE991627179937,06631007,Fulda,Eiterfeld,9.722775,50.776335,2016-12-23,35,3450.000,3450.000,888
SEE950949954820,15082377,Anhalt-Bitterfeld,Südliches Anhalt,11.951035,51.656809,2012-07-06,35,2300.000,2300.000,888
SEE963603506488,15082377,Anhalt-Bitterfeld,Südliches Anhalt,11.944761,51.659953,2012-07-12,35,2300.000,2300.000,888
SEE920876671855,07338015,Rhein-Pfalz-Kreis,Kleinniedesheim,8.303337,49.589912,2016-06-09,35,2400.000,2400.000,888
SEE943370823117,03353027,Harburg,Otter,9.725091,53.139441,2011-08-17,35,2300.000,2300.000,888
SEE996793760507,01058127,Rendsburg-Eckernförde,Owschlag,9.580828,54.415742,2001-12-18,35,1500.000,1500.000,888
SEE974786457160,03353027,Harburg,Otter,9.713295,53.134588,2011-08-18,35,2300.000,2300.000,888
SEE913236138075,01058127,Rendsburg-Eckernförde,Owschlag,9.588214,54.414081,2001-12-20,35,1500.000,1500.000,888
SEE982552386736,03353027,Harburg,Otter,9.718682,53.132390,2011-09-05,35,2300.000,2300.000,888
SEE982181652394,01058127,Rendsburg-Eckernförde,Owschlag,9.585461,54.412278,2001-12-13,35,1500.000,1500.000,888
SEE995585631407,13076043,Ludwigslust-Parchim,Gischow,11.985036,53.441145,2011-12-16,35,2300.000,2300.000,888
SEE988699475159,01058127,Rendsburg-Eckernförde,Owschlag,9.590139,54.411825,2001-12-18,35,1500.000,1500.000,888
SEE914437680769,05554044,Borken,Reken,7.089490,51.820910,2010-07-07,35,800.000,800.000,888
SEE901793282560,03360025,Uelzen,Uelzen,10.594083,52.936258,2003-08-13,35,1500.000,1500.000,888
SEE942160503963,12066052,Oberspreewald-Lausitz,Calau,13.882422,51.734267,2014-01-08,35,3075.000,3075.000,888
SEE921770883917,03360025,Uelzen,Uelzen,10.591300,52.939972,2003-08-12,38,1500.000,1500.000,888
SEE912468041450,12073578,Uckermark,Uckerfelde,13.984284,53.218906,2003-11-05,38,1800.000,1800.000,888
SEE910673278364,12073578,Uckermark,Uckerfelde,13.980336,53.221013,2003-08-07,38,1800.000,1800.000,888
SEE990591083691,01054167,Nordfriesland,Enge-Sande,9.052910,54.712303,2020-12-07,35,3200.000,3200.000,888
SEE906782690371,01054167,Nordfriesland,Enge-Sande,9.058759,54.712515,2021-01-25,35,3200.000,3200.000,888
SEE969623745418,12066052,Oberspreewald-Lausitz,Calau,13.879457,51.731596,2014-01-02,35,3075.000,3075.000,888
SEE974733173686,01054167,Nordfriesland,Enge-Sande,9.060866,54.710134,2020-11-30,35,3200.000,3200.000,888
SEE937417730643,12066052,Oberspreewald-Lausitz,Calau,13.883831,51.728428,2014-01-28,35,3075.000,3075.000,888
SEE957440394520,12066052,Oberspreewald-Lausitz,Calau,13.881997,51.752981,2013-12-23,35,3075.000,3075.000,888
SEE983087425587,03454011,Emsland,Esterwegen,7.651612,52.987758,1995-08-04,35,500.000,500.000,888
